"","V1","V2"
"643",393194.469014585,5068255.29143234
"644",372739.679710291,5049790.36393549
"645",340823.231912671,5076727.15608382
"646",402407.008805558,5048612.2779246
"647",367205.48534172,5076817.44361384
"648",399079.619448473,5064341.26793162
"649",362730.746868484,5078319.74875358
"650",383502.211192313,5058977.29433263
"651",413045.724140234,5055628.83908522
"652",413140.1420499,5062937.75239076
"653",364792.490728169,5071440.40613609
"654",368006.809987038,5060663.07157796
"655",409069.826327733,5080486.67627349
"656",409628.657458819,5069959.26481026
"657",400293.020089609,5051433.15352246
"658",358166.865091697,5059177.11971623
"659",409483.078894468,5059681.79624693
"660",395583.132602077,5056229.05340637
"661",365719.10311366,5062205.0843974
"662",393469.806550478,5074521.9278007
"663",349736.353839342,5067573.74666135
"664",338124.027027425,5062953.06077109
"665",410990.374619769,5052953.45969278
"666",396119.514247969,5062896.87772868
"667",345959.973847687,5068608.7235297
"668",383272.701360615,5073798.41170945
"669",368997.694722543,5082343.0618472
"670",376353.905914244,5077693.75937264
"671",407353.2653857,5053471.0583574
"672",372995.154680589,5063109.85377287
"673",396384.321576281,5049372.291033
"674",389829.889748506,5064101.13731353
"675",407341.658414015,5050175.12518062
"676",340936.535912282,5069233.59636349
"677",377472.316004635,5070831.92490991
"678",352079.709778064,5044113.8071096
"679",355421.564438697,5054326.43480176
"680",369907.847652994,5071984.00063981
"681",372060.364129902,5069171.60761685
"682",389067.231760056,5068281.13723298
"683",379249.939481941,5060678.61195473
"684",357038.208495659,5065319.47401692
"685",360520.189870282,5075713.68138864
"686",359933.814138975,5066592.01366686
"687",356159.855984162,5076724.07334941
"688",396789.576642278,5067824.44868432
"689",363137.304126,5067510.22054484
"690",388343.086439944,5076321.04289663
"691",347143.192986484,5049718.2362002
"692",372388.630725024,5075830.93661831
"693",360263.81708909,5045806.7710244
"694",394105.550271661,5084912.91153659
"695",385557.547555241,5069734.97493073
"696",398457.158047458,5057959.54655884
"697",360531.614609035,5061355.23309538
"698",384490.262049781,4858802.93745914
"699",393624.700376894,4860311.5690121
"700",420313.869629646,4882930.08175925
"701",412500.370567441,4883083.58428976
"702",413012.500623851,4871500.66240823
"703",404887.472203632,4863606.46194105
